Name,Msg File,FRM file,Prefix,Location,Mod,TH Mod,Status,VoiceActor,Description,AuditionLineA,AuditionLineB,AuditionLineC,WikiLink,ImageFile,InVockScope,Companion,CompanionMod
Sandy,ocsandy,,,Vault 13,,,,,,,,,https://fallout.fandom.com/wiki/Sandy_(Fallout_2),,No,,
Melchior,ecmelchr,,,Mariposa,,,,,,,,,https://fallout.fandom.com/wiki/Melchior,,No,,
Grundel,ecgrunde,,,Mariposa,,,,,,,,,https://fallout.fandom.com/wiki/Grundel,,No,,
ACE,fsface,,,San Francisco,,,,,,,,,https://fallout.fandom.com/wiki/ACE,,No,,
Jing Tie Gahng,fcchemst,,,San Francisco,,,,,,,,,https://fallout.fandom.com/wiki/Jing_Tie_Gahng,,No,,
Mai Da Chiang,fcgunmer,,,San Francisco,,,,,,,,,https://fallout.fandom.com/wiki/Mai_Da_Chiang,,No,,
Shi Emperor,fsempter,,,San Francisco,,,,,,,,,https://fallout.fandom.com/wiki/Shi_Emperor,,No,,
Cal,fctnkgmr,,,San Francisco,,,,,,,,,https://fallout.fandom.com/wiki/Cal,,No,,
Jenna,fctnkmer,,,San Francisco,,,,,,,,,https://fallout.fandom.com/wiki/Jenna,,No,,
Marc,fcmarc,,,San Francisco,,,,,,,,,https://fallout.fandom.com/wiki/Marc_(San_Francisco),,No,,
Slim,fctnkbar,,,San Francisco,,,,,,,,,https://fallout.fandom.com/wiki/Slim_(San_Francisco),,No,,
Crocket,fccrocke,,,San Francisco,,,,,,,,,https://fallout.fandom.com/wiki/Crocket,,No,,
Dave Handy,fcdaveh,,,San Francisco,,,,,,,,,https://fallout.fandom.com/wiki/Dave_Handy,,No,,
Harry,fcrocman,,,San Francisco,,,,,,,,,https://fallout.fandom.com/wiki/Harry_(Fallout_2),,No,,
Commander's door guard,ccdrgrd,,,Navarro,,,,,,,,,https://fallout.fandom.com/wiki/Commander%27s_door_guard,,No,,
Cookie,cccook,,,Navarro,,,,,,,,,https://fallout.fandom.com/wiki/Cookie_(Navarro),,No,,
Kevin,cckevin,,,Navarro,,,,,,,,,https://fallout.fandom.com/wiki/Kevin_(Fallout_2),,No,,
Snookie,ccmedgrd,,,Navarro,,,,,,,,,https://fallout.fandom.com/wiki/Snookie,,No,,
Martin Frobisher,qcmartin,,,Enclave Oil Rig,,,,,,,,,https://fallout.fandom.com/wiki/Martin_Frobisher,,No,,
Secretary,qcprssec,,,Enclave Oil Rig,,,,,,,,,https://fallout.fandom.com/wiki/Secretary_(Fallout_2),,No,,
Tom Murray,qcmurray,,,Enclave Oil Rig,,,,,,,,,https://fallout.fandom.com/wiki/Tom_Murray,,No,,
Alexand,,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Alexand,,No,,
Amish commando,,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Amish_commando,,No,,
BlueCross,,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/BlueCross,,No,,
Buffy,,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Buffy,,No,,
Doombot,,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Doombot,,No,,
Hatchetman,,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Hatchetman,,No,,
Iguana Eater,,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Iguana_Eater,,No,,
Lerk,,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Lerk,,No,,
Night Owl,,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Night_Owl,,No,,
Panoply,,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Panoply,,No,,
Set,,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Set,,No,,
Shadow Dancer,,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Shadow_Dancer,,No,,
Ymir,,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Ymir,,No,,
Willy,ectrader,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Willy_(Fallout_2),,No,,
